feature,psi,status
MonthlyCharges,0.012492,stable
TotalCharges,0.008265,stable
tenure,0.006653,stable
OnlineBackup,0.004434,stable
MultipleLines,0.003021,stable
StreamingTV,0.002794,stable
PhoneService,0.001683,stable
StreamingMovies,0.001028,stable
TechSupport,0.000777,stable
DeviceProtection,0.000445,stable
PaymentMethod,0.000404,stable
gender,0.000367,stable
OnlineSecurity,0.000338,stable
Dependents,0.000295,stable
InternetService,0.000236,stable
Partner,0.000182,stable
Contract,0.000144,stable
PaperlessBilling,0.000101,stable
SeniorCitizen,0.0,stable
