threshold,precision,recall,f1,intervention_rate,intervention_count
0.20,0.388769,0.962567,0.553846,0.657204,926
0.25,0.407666,0.938503,0.568421,0.611072,861
0.30,0.428925,0.927807,0.586644,0.574166,809
0.35,0.447820,0.906417,0.599469,0.537260,757
0.40,0.466187,0.866310,0.606174,0.493258,695
0.45,0.483025,0.836898,0.612524,0.459901,648
0.50,0.504303,0.783422,0.613613,0.412349,581
0.55,0.524254,0.751337,0.617582,0.380412,536
0.60,0.539877,0.705882,0.611819,0.347055,489
0.65,0.567198,0.665775,0.612546,0.311568,439
0.70,0.603217,0.601604,0.602410,0.264727,373
